x,y,u_velocity,v_velocity,pressure,velocity_magnitude,viscosity,vorticity,divergence
0.0,0.0,0.084676236,0.02210057,0.3300545,0.08751286,0.01,-2.1446931,-0.7693732
0.0,0.020408163,0.12963225,0.0195825,0.33835092,0.131103,0.011025302,-2.391948,-0.827152
0.0,0.040816326,0.18454352,0.016902946,0.34805232,0.185316,0.012050604,-2.8264909,-0.8734679
0.0,0.06122449,0.24709558,0.01420809,0.3587457,0.24750373,0.013075907,-3.1385694,-0.899516
0.0,0.08163265,0.3145969,0.011660544,0.36996067,0.3148129,0.014101209,-3.3144503,-0.90030944
0.0,0.10204081,0.38415793,0.00941886,0.38121313,0.38427338,0.015126511,-3.3506796,-0.86906457
0.0,0.12244898,0.45292616,0.0076121055,0.39205635,0.45299014,0.016151814,-3.2562437,-0.80055714
0.0,0.14285713,0.51836294,0.0063190125,0.4021282,0.51840144,0.017177116,-3.0523083,-0.6947868
0.0,0.1632653,0.57847774,0.0055600964,0.4111789,0.57850444,0.018202417,-2.7677588,-0.5584285
0.0,0.18367347,0.63192713,0.005304761,0.41906902,0.63194937,0.01922772,-2.4328916,-0.4029473
0.0,0.20408162,0.6779873,0.005485624,0.42574847,0.6780095,0.020253021,-2.0759053,-0.24102914
0.0,0.2244898,0.7165012,0.006010469,0.43123853,0.7165264,0.021278325,-1.7235777,-0.08361761
0.0,0.24489796,0.74786943,0.0067673363,0.43562874,0.74790007,0.022303628,-1.4018903,0.060995735
0.0,0.26530612,0.77301764,0.007628329,0.43907338,0.77305526,0.02332893,-1.1331842,0.18776572
0.0,0.28571427,0.79326725,0.0084583685,0.44177476,0.7933123,0.02435423,-0.93172956,0.2950365
0.0,0.30612245,0.8101207,0.00912917,0.44395292,0.81017214,0.025379535,-0.80155784,0.3842935
0.0,0.3265306,0.825045,0.009535696,0.44581658,0.8251001,0.026404835,-0.73743886,0.4588154
0.0,0.34693876,0.839303,0.009611111,0.44754016,0.83935803,0.027430138,-0.7274287,0.52188164
0.0,0.36734694,0.85384786,0.009334978,0.44924885,0.8538989,0.028455442,-0.7558005,0.5755205
0.0,0.3877551,0.86928123,0.0087338425,0.4510129,0.8693251,0.029480742,-0.80570817,0.6197732
0.0,0.40816325,0.8858608,0.00787301,0.45285013,0.8858958,0.030506045,-0.86104155,0.65325963
0.0,0.42857143,0.9035362,0.006843481,0.45473582,0.9035621,0.03153135,-0.9070927,0.6741987
0.0,0.4489796,0.9219793,0.0057455227,0.4566138,0.92199725,0.03255665,-0.9298443,0.6815451
0.0,0.46938774,0.94058585,0.0046745613,0.45840278,0.9405975,0.03358195,-0.9155827,0.67611885
0.0,0.48979592,0.95848227,0.0037100203,0.45999658,0.9584894,0.034607254,-0.85207427,0.6606451
0.0,0.5102041,0.9745717,0.002911754,0.46126217,0.97457606,0.03563256,-0.73068124,0.6394237
0.0,0.53061223,0.9876256,0.0023225024,0.46203828,0.98762834,0.03665786,-0.54791814,0.6176292
0.0,0.55102044,0.9963959,0.0019735545,0.46214393,0.99639785,0.037683163,-0.30580705,0.6004851
0.0,0.5714286,0.9997232,0.0018877164,0.4613966,0.999725,0.038708463,-0.011181891,0.5922893
0.0,0.59183675,0.996627,0.002080828,0.45963845,0.9966292,0.039733768,0.32589072,0.595712
0.0,0.6122449,0.9863514,0.002563648,0.4567563,0.9863547,0.04075907,0.6948823,0.6112924
0.0,0.63265306,0.9683455,0.0033472925,0.45268735,0.9683513,0.04178437,1.0874616,0.6374274
0.0,0.6530612,0.9421993,0.0044477805,0.44740963,0.9422098,0.042809673,1.4974601,0.6707619
